__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1778092886.610428,-5.955945419,-0.635795474,0.000000000,,,,,
1778092886.610440,,,,1778092886.610317945,0.740373432,-0.714614733,-0.812503440,-0.328856040
1778092886.611700,-5.960898303,-0.612925376,0.000000000,,,,,
1778092886.611747,,,,1778092886.611465216,0.739617714,-0.720863847,-0.812848870,-0.329498601
1778092886.612462,-5.966731742,-0.586070643,0.000000000,,,,,
1778092886.612479,,,,1778092886.612350941,0.738901239,-0.726746251,-0.813174282,-0.330076389
1778092886.613467,-5.972216547,-0.560882793,0.000000000,,,,,
1778092886.613484,,,,1778092886.613354683,0.738182491,-0.732605497,-0.813498654,-0.330626662
1778092886.614361,-5.977677536,-0.535867047,0.000000000,,,,,
1778092886.614381,,,,1778092886.614286423,0.737461581,-0.738441264,-0.813821942,-0.331149808
1778092886.615664,-5.983114485,-0.511022524,0.000000000,,,,,
1778092886.615719,,,,1778092886.615615368,0.736578481,-0.745528437,-0.814214916,-0.331755129
1778092886.616413,-5.989731793,-0.480883387,0.000000000,,,,,
1778092886.616431,,,,1778092886.616325378,0.735942543,-0.750603153,-0.814496336,-0.332162550
1778092886.617402,-5.994448780,-0.459431978,0.000000000,,,,,
1778092886.617422,,,,1778092886.617316246,0.735183766,-0.756614728,-0.814829910,-0.332623295
1778092886.618418,-6.000045680,-0.434046934,0.000000000,,,,,
1778092886.618434,,,,1778092886.618335247,0.734417029,-0.762646952,-0.815164756,-0.333059670
1778092886.619344,-6.005660175,-0.408642793,0.000000000,,,,,
1778092886.619390,,,,1778092886.619303465,0.733658100,-0.768577223,-0.815494033,-0.333463183
1778092886.620503,-6.011176842,-0.383737964,0.000000000,,,,,
1778092886.620519,,,,1778092886.620404720,0.732812483,-0.775134990,-0.815858274,-0.333881814
1778092886.621348,-6.017282981,-0.356245369,0.000000000,,,,,
1778092886.621361,,,,1778092886.621297359,0.732123401,-0.780447836,-0.816153346,-0.334196354
1778092886.622435,-6.022215871,-0.334071890,0.000000000,,,,,
1778092886.622450,,,,1778092886.622354031,0.731298696,-0.786760497,-0.816504028,-0.334546538
1778092886.623472,-6.028087243,-0.307748093,0.000000000,,,,,
1778092886.623512,,,,1778092886.623331785,0.730528125,-0.792620889,-0.816829559,-0.334845725
1778092886.624574,-6.033531242,-0.283388856,0.000000000,,,,,
1778092886.624594,,,,1778092886.624426603,0.729656158,-0.799203737,-0.817195227,-0.335154914
1778092886.625513,-6.039653314,-0.256064360,0.000000000,,,,,
1778092886.625552,,,,1778092886.625407934,0.728854820,-0.805214316,-0.817529022,-0.335409746
1778092886.626522,-6.045234880,-0.231200122,0.000000000,,,,,
1778092886.626538,,,,1778092886.626407623,0.728041770,-0.811272796,-0.817865399,-0.335641453
1778092886.627468,-6.050859740,-0.206194612,0.000000000,,,,,
1778092886.627482,,,,1778092886.627389431,0.727227094,-0.817304196,-0.818200166,-0.335846984
1778092886.628466,-6.056457425,-0.181359340,0.000000000,,,,,
1778092886.628482,,,,1778092886.628389359,0.726403511,-0.823362282,-0.818536285,-0.336028392
1778092886.629325,-6.062078440,-0.156469597,0.000000000,,,,,
1778092886.629360,,,,1778092886.629285574,0.725670620,-0.828723348,-0.818833578,-0.336166768
1778092886.630686,-6.067044377,-0.134513785,0.000000000,,,,,
1778092886.630728,,,,1778092886.630436659,0.724767040,-0.835286440,-0.819197387,-0.336312280
1778092886.631559,-6.073136472,-0.107642188,0.000000000,,,,,
1778092886.631594,,,,1778092886.631412029,0.723901567,-0.841532345,-0.819543381,-0.336422984
1778092886.632419,-6.078928482,-0.082140229,0.000000000,,,,,
1778092886.632454,,,,1778092886.632291555,0.723142735,-0.846978634,-0.819844858,-0.336496576
1778092886.633490,-6.083969433,-0.059976067,0.000000000,,,,,
1778092886.633510,,,,1778092886.633387089,0.722196545,-0.853721570,-0.820217875,-0.336563048
1778092886.634382,-6.090224540,-0.032536218,0.000000000,,,,,
1778092886.634398,,,,1778092886.634297371,0.721410856,-0.859290142,-0.820525637,-0.336592797
1778092886.635323,-6.095376510,-0.009963783,0.000000000,,,,,
1778092886.635338,,,,1778092886.635278702,0.720574508,-0.865182378,-0.820851021,-0.336602429
1778092886.636379,-6.100829736,0.013888057,0.000000000,,,,,
1778092886.636411,,,,1778092886.636320829,0.719692275,-0.871359340,-0.821191810,-0.336588368
1778092886.637365,-6.106547749,0.038855106,0.000000000,,,,,
1778092886.637393,,,,1778092886.637292147,0.718822284,-0.877414227,-0.821525513,-0.336549841
1778092886.638486,-6.112149439,0.063276803,0.000000000,,,,,
1778092886.638508,,,,1778092886.638383389,0.717903781,-0.883766608,-0.821875222,-0.336484077
1778092886.639413,-6.118027635,0.088861135,0.000000000,,,,,
1778092886.639429,,,,1778092886.639346838,0.717010553,-0.889907468,-0.822212872,-0.336394885
1778092886.640441,-6.123705594,0.113538468,0.000000000,,,,,
1778092886.640461,,,,1778092886.640355110,0.716107018,-0.896082105,-0.822551949,-0.336280402
1778092886.641420,-6.129412994,0.138307451,0.000000000,,,,,
1778092886.641440,,,,1778092886.641347647,0.715214900,-0.902143401,-0.822884358,-0.336143631
1778092886.642494,-6.135012235,0.162574191,0.000000000,,,,,
1778092886.642516,,,,1778092886.642406225,0.714289769,-0.908391470,-0.823226527,-0.335978061
1778092886.643584,-6.140783810,0.187552083,0.000000000,,,,,
1778092886.643622,,,,1778092886.643400908,0.713323687,-0.914875953,-0.823581101,-0.335780012
1778092886.644474,-6.146773954,0.213438456,0.000000000,,,,,
1778092886.644493,,,,1778092886.644386768,0.712410056,-0.920973719,-0.823913993,-0.335568275
1778092886.645322,-6.152400197,0.237724386,0.000000000,,,,,
1778092886.645339,,,,1778092886.645267010,0.711591709,-0.926408472,-0.824210234,-0.335358280
1778092886.646568,-6.157406284,0.259314050,0.000000000,,,,,
1778092886.646593,,,,1778092886.646430254,0.710581988,-0.933071691,-0.824572837,-0.335077664
1778092886.647380,-6.163555863,0.285792610,0.000000000,,,,,
1778092886.647398,,,,1778092886.647284508,0.709714848,-0.938764986,-0.824882106,-0.334813677
1778092886.648454,-6.168798050,0.308346680,0.000000000,,,,,
1778092886.648467,,,,1778092886.648380756,0.708664241,-0.945618681,-0.825253712,-0.334471096
1778092886.649364,-6.175119762,0.335503892,0.000000000,,,,,
1778092886.649377,,,,1778092886.649278879,0.707822998,-0.951080655,-0.825549293,-0.334174338
1778092886.650448,-6.180141871,0.357066778,0.000000000,,,,,
1778092886.650460,,,,1778092886.650377512,0.706756075,-0.957963726,-0.825921034,-0.333776659
1778092886.651450,-6.186484742,0.384259610,0.000000000,,,,,
1778092886.651463,,,,1778092886.651377201,0.705792195,-0.964148491,-0.826254333,-0.333392506
1778092886.652446,-6.192173323,0.408629232,0.000000000,,,,,
1778092886.652460,,,,1778092886.652375460,0.704826692,-0.970309988,-0.826585670,-0.332985901
1778092886.653455,-6.197837240,0.432871729,0.000000000,,,,,
1778092886.653469,,,,1778092886.653379440,0.703848039,-0.976521355,-0.826918948,-0.332552084
1778092886.654530,-6.203544409,0.457278208,0.000000000,,,,,
1778092886.654605,,,,1778092886.654371262,0.702870126,-0.982694713,-0.827249429,-0.332097031
1778092886.655430,-6.209213032,0.481500728,0.000000000,,,,,
1778092886.655449,,,,1778092886.655328274,0.701938688,-0.988545226,-0.827561913,-0.331643346
1778092886.656422,-6.214578886,0.504415254,0.000000000,,,,,
1778092886.656446,,,,1778092886.656309366,0.700956953,-0.994678935,-0.827888750,-0.331145495
1778092886.657574,-6.220204262,0.528419166,0.000000000,,,,,
1778092886.657591,,,,1778092886.657417059,0.699868591,-1.001439040,-0.828248014,-0.330571210
1778092886.658452,-6.226407457,0.554864691,0.000000000,,,,,
1778092886.658466,,,,1778092886.658377886,0.698877750,-1.007562114,-0.828572562,-0.330025554
1778092886.659474,-6.232015552,0.578763163,0.000000000,,,,,
1778092886.659514,,,,1778092886.659332991,0.697920923,-1.013445960,-0.828883634,-0.329479125
1778092886.660501,-6.237398687,0.601692253,0.000000000,,,,,
1778092886.660515,,,,1778092886.660372019,0.696844234,-1.020029827,-0.829230744,-0.328844011
1778092886.661437,-6.243426129,0.627346131,0.000000000,,,,,
1778092886.661450,,,,1778092886.661368370,0.695815548,-1.026287844,-0.829559727,-0.328215198
1778092886.662321,-6.249147555,0.651688327,0.000000000,,,,,
1778092886.662350,,,,1778092886.662278175,0.694895439,-1.031860203,-0.829851878,-0.327634089
1778092886.663473,-6.254232072,0.673316953,0.000000000,,,,,
1778092886.663495,,,,1778092886.663356781,0.693802661,-1.038441688,-0.830195910,-0.326925540
1778092886.664441,-6.260244438,0.698874207,0.000000000,,,,,
